P1_complete_execution_count	P1_complete_graph_update_time	P1_complete_total_update_time	P1_complete_computation_time	P1_summarized_execution_count	P1_summarized_graph_update_time	P1_summarized_total_update_time	P1_summarized_computation_time	P2_complete_execution_count	P2_complete_graph_update_time	P2_complete_total_update_time	P2_complete_computation_time	P2_summarized_execution_count	P2_summarized_graph_update_time	P2_summarized_total_update_time	P2_summarized_computation_time	P4_complete_execution_count	P4_complete_graph_update_time	P4_complete_total_update_time	P4_complete_computation_time	P4_summarized_execution_count	P4_summarized_graph_update_time	P4_summarized_total_update_time	P4_summarized_computation_time	P8_complete_execution_count	P8_complete_graph_update_time	P8_complete_total_update_time	P8_complete_computation_time	P8_summarized_execution_count	P8_summarized_graph_update_time	P8_summarized_total_update_time	P8_summarized_computation_time		P16_summarized_execution_count	P16_summarized_graph_update_time	P16_summarized_total_update_time	P16_summarized_computation_time
28	35490	82488	291588	28	37039	84173	135978	28	20494	46634	131206	28	21263	46762	87693	28	12430	36748	74056	28	12882	29040	52111	28	9748	26620	42934	28	8919	22497	40915		28	9164	24388	37592
29	36239	80201	268650	29	37154	82126	132889	29	22588	54610	137194	29	21566	48603	90012	29	12610	30662	72709	29	12066	28544	50137	29	11185	24656	42330	29	9111	22744	38478		29	9783	24497	35317
30	36491	84162	280522	30	34480	78200	138680	30	20841	48789	132085	30	20524	46833	84470	30	14638	34623	71668	30	12750	28723	50148	30	9467	24529	42807	30	9586	26663	39257		30	11408	26372	36513
31	37256	84197	265868	31	35579	80123	131024	31	20596	46928	137876	31	21177	44960	85415	31	12667	32665	73410	31	12420	28668	50648	31	9314	26658	41757	31	9393	24609	37611		31	8935	22442	37160
32	36483	86080	268319	32	34429	78112	127760	32	20327	45121	134693	32	21455	44922	82635	32	12564	31100	74412	32	12104	38547	49579	32	9163	22600	44579	32	10487	22551	36700		32	9651	24556	35105
33	36582	82389	264133	33	36628	80113	131252	33	21142	46728	132911	33	20695	46816	87557	33	16028	36535	71224	33	12277	28676	50135	33	9341	26548	43382	33	9299	28653	38749		33	9067	22575	34731
34	39641	86183	281861	34	35114	82378	135193	34	24331	52583	137574	34	21167	44547	98765	34	12102	30692	71017	34	12834	30521	51367	34	10311	26609	42321	34	8841	22552	40861		34	14747	28408	35414
35	35581	80091	272549	35	35501	80047	128861	35	20746	48626	132177	35	20855	46607	88030	35	13969	32716	71771	35	12038	40779	50372	35	15074	30433	41849	35	9031	22745	37426		35	8675	20363	37496
36	34741	80236	269797	36	43101	88128	133282	36	21315	48598	132092	36	20296	44480	82445	36	13516	34574	71824	36	12247	28538	51148	36	10135	28566	43305	36	9729	24603	45299		36	9057	22424	44454
37	36980	82104	273206	37	36679	84168	134717	37	23119	50912	131281	37	21379	48554	86577	37	12976	32576	71216	37	13564	30470	55749	37	10984	26596	43260	37	8730	20621	38531		37	8861	22485	35148
38	35306	82322	274548	38	35621	80317	129501	38	19587	46565	139403	38	22343	46925	85072	38	12125	30599	71951	38	11827	28601	52312	38	9350	24594	42940	38	10296	24583	37493		38	9365	24600	35714
39	38219	84091	259560	39	34775	82269	131143	39	20344	46845	132127	39	21449	46635	87577	39	12017	28530	71000	39	15061	32546	49519	39	12267	30423	42018	39	8798	22511	37085		39	8831	22513	34164
40	34786	80121	285138	40	35856	80357	130315	40	20295	46557	131837	40	20140	44571	82334	40	13769	32603	70786	40	12689	28470	52678	40	9753	24457	41303	40	9561	24709	35876		40	8699	22388	35723
41	37246	86260	274936	41	34958	82291	131296	41	21572	50612	130551	41	21193	46496	84848	41	15498	32565	74007	41	12741	28659	52963	41	9391	26703	42921	41	9945	22741	35787		41	9526	26493	35608
42	37784	84103	269266	42	37977	84129	131956	42	19414	46793	135995	42	20458	46547	83056	42	13686	32585	71342	42	12808	28586	50428	42	10256	25060	42206	42	9499	22671	40285		42	8760	22484	33662
43	37074	86155	270090	43	35945	80177	133718	43	22765	48680	138430	43	20882	44836	87189	43	13014	30567	72467	43	12712	28546	50084	43	10821	28562	41883	43	11070	24626	38664		43	8945	22685	33435
44	36670	82118	286976	44	39145	84114	132088	44	19908	46770	134058	44	20759	44505	89363	44	14338	32575	74407	44	12413	28600	53152	44	9603	24640	42261	44	10343	24647	36883		44	9049	22448	32913
45	37224	84080	273338	45	41444	88115	131996	45	22863	48951	134891	45	21438	46539	88591	45	12016	30744	76432	45	12768	29226	51097	45	9133	30455	42187	45	9362	24578	39960		45	9103	22419	38330
46	33798	80260	276643	46	35081	84160	138084	46	20161	44640	135583	46	20952	44539	82097	46	12541	30572	72363	46	18584	35494	50333	46	9324	26491	42859	46	9399	22497	37442		46	8710	22682	34402
47	38031	88110	262224	47	36954	84226	133534	47	20026	46641	131738	47	21916	54227	86626	47	12008	32681	71641	47	14803	30651	51676	47	9504	24720	44038	47	9103	22733	39007		47	8821	20368	37182
48	35002	82009	277683	48	36549	82140	129901	48	26555	52586	133470	48	21877	47014	93864	48	12510	34553	72098	48	12747	30751	56500	48	9675	24491	41828	48	9019	20612	36766		48	9223	24451	34615
49	42562	88309	271138	49	40530	84102	130335	49	22961	47024	132557	49	21715	56440	89632	49	12426	30501	70667	49	12791	28591	55479	49	10767	24672	42070	49	9251	22730	36202		49	8999	22604	35673
50	37370	88129	273776	50	35604	86108	130405	50	20742	46668	134339	50	21542	48487	82032	50	12256	30520	70625	50	12873	32665	51810	50	9612	26644	41546	50	9301	22532	39779		50	9287	22595	34441
