P	complete_graph_update_time_ratio_avg	complete_graph_update_time_ratio_std	complete_graph_update_time_avg	complete_graph_update_time_std	complete_total_update_time_ratio_avg	complete_total_update_time_ratio_std	complete_total_update_time_avg	complete_total_update_time_std	complete_computation_time_ratio_avg	complete_computation_time_ratio_std	complete_computation_time_avg	complete_computation_time_std
2	1.7351756327926338	0.11559180556496644	21261.2	1405.178077174359	1.7348189711770072	0.08803508434044731	47987.74	1958.9163581856546	2.0307556553497674	0.07356545389719164	133460.14	2389.6999727145326
4	2.80220633619499	0.23446237148390037	13186.5	962.0970982861409	2.5943227664305497	0.17916983731501243	32163.46	2091.5964824282246	3.731631796258483	0.13912828489325918	72631.62	1282.0436474151536
8	3.657538537915016	0.37899413650441843	10163.72	1208.6932907153941	3.162880886360915	0.2814024359933762	26455.76	2190.8172974989056	6.325117810578157	0.3028965747241114	42883.52	1325.3710953571317
16	3.9057777016264392	0.5758546579516484	9778.26	2851.1518031297096	3.382612250731065	0.3843920311141077	24957.48	3746.3642742133393	9.46234228038252	0.7740675544992132	28858.46	3113.539610560722
