P	summarized_graph_update_time_ratio_avg	summarized_graph_update_time_ratio_std	summarized_graph_update_time_avg	summarized_graph_update_time_std	summarized_total_update_time_ratio_avg	summarized_total_update_time_ratio_std	summarized_total_update_time_avg	summarized_total_update_time_std	summarized_computation_time_ratio_avg	summarized_computation_time_ratio_std	summarized_computation_time_avg	summarized_computation_time_std
2	1.6851357773175337	0.1148275263814366	21451.74	854.4874059567968	1.7336373385038462	0.09475642763450427	47170.56	2516.817346878994	1.5320790659453718	0.07759837517964797	86555.5	3791.5180539015273
4	2.8057066021461567	0.27417900083490326	12973.0	1382.5546304296438	2.712321159317508	0.24914333050147297	30332.02	2976.5092792376363	2.5244552530158235	0.18098213996975165	52706.0	4183.8208296596395
8	3.7686427373170166	0.47321263230958516	9733.32	1423.0594440235059	3.4567050373372377	0.390241093824431	23900.06	2875.289887142171	3.4598611801214685	0.23063973464365786	38449.32	3213.6372326162054
16	3.7197997331697037	0.383563735182315	9824.54	1345.1275519520102	3.2615229181925183	0.5239305403015927	25999.9	6718.719026506679	3.4496566707795853	0.5156822629989481	39552.28	8365.50380063074
