execution_count	graph_update_time	total_update_time	computation_time	execution_count	graph_update_time	total_update_time	computation_time
1	15636	38382	74623	1	12205	31866	57435
2	12687	29066	72850	2	12833	28921	53283
3	14168	33571	75374	3	13778	32941	56755
4	13316	33037	73735	4	12419	28868	49881
5	13193	28824	72768	5	11785	30720	54614
6	14030	33092	73532	6	12895	28596	53476
7	13205	30785	71700	7	13169	28816	49949
8	14409	33151	73482	8	12828	29011	50213
9	12441	30641	73812	9	19329	38725	53007
10	12689	33280	72989	10	12444	30836	51265
11	12735	32950	73427	11	12402	28544	54875
12	12596	30839	73481	12	12073	36688	50755
13	14445	30856	72129	13	12984	28613	50003
14	13726	35127	73549	14	12248	28629	50754
15	12368	30816	72259	15	12484	28697	75925
16	13935	32432	74479	16	12891	28509	49664
17	12672	31133	71795	17	12737	28492	50002
18	12893	30835	72375	18	12775	28619	57127
19	12566	28801	71585	19	12175	28509	51303
20	12868	30691	71833	20	12349	30732	51673
21	12754	34700	72733	21	12517	28595	49041
22	12773	33102	72266	22	12420	28457	51894
23	13408	34781	72833	23	12305	28997	58495
24	12724	30705	73502	24	13174	28615	51339
25	12742	30604	71154	25	13688	33573	56279
26	12539	30845	72218	26	12870	30533	56703
27	14103	32641	72005	27	12874	28607	50165
28	12430	36748	74056	28	12882	29040	52111
29	12610	30662	72709	29	12066	28544	50137
30	14638	34623	71668	30	12750	28723	50148
31	12667	32665	73410	31	12420	28668	50648
32	12564	31100	74412	32	12104	38547	49579
33	16028	36535	71224	33	12277	28676	50135
34	12102	30692	71017	34	12834	30521	51367
35	13969	32716	71771	35	12038	40779	50372
36	13516	34574	71824	36	12247	28538	51148
37	12976	32576	71216	37	13564	30470	55749
38	12125	30599	71951	38	11827	28601	52312
39	12017	28530	71000	39	15061	32546	49519
40	13769	32603	70786	40	12689	28470	52678
41	15498	32565	74007	41	12741	28659	52963
42	13686	32585	71342	42	12808	28586	50428
43	13014	30567	72467	43	12712	28546	50084
44	14338	32575	74407	44	12413	28600	53152
45	12016	30744	76432	45	12768	29226	51097
46	12541	30572	72363	46	18584	35494	50333
47	12008	32681	71641	47	14803	30651	51676
48	12510	34553	72098	48	12747	30751	56500
49	12426	30501	70667	49	12791	28591	55479
50	12256	30520	70625	50	12873	32665	51810
