P	complete_graph_update_time_avg	complete_graph_update_time_std	complete_total_update_time_avg	complete_total_update_time_std	complete_computation_time_avg	complete_computation_time_std	summarized_graph_update_time_avg	summarized_graph_update_time_std	summarized_total_update_time_avg	summarized_total_update_time_std	summarized_computation_time_avg	summarized_computation_time_std
2	21261.2	1405.178077174359	47987.74	1958.9163581856546	133460.14	2389.6999727145326	21451.74	854.4874059567968	47170.56	2516.817346878994	86555.5	3791.5180539015273
4	13186.5	962.0970982861409	32163.46	2091.5964824282246	72631.62	1282.0436474151536	12973.0	1382.5546304296438	30332.02	2976.5092792376363	52706.0	4183.8208296596395
8	10163.72	1208.6932907153941	26455.76	2190.8172974989056	42883.52	1325.3710953571317	9733.32	1423.0594440235059	23900.06	2875.289887142171	38449.32	3213.6372326162054
16	9778.26	2851.1518031297096	24957.48	3746.3642742133393	28858.46	3113.539610560722	9824.54	1345.1275519520102	25999.9	6718.719026506679	39552.28	8365.50380063074
