P	complete_graph_update_time_ratio_avg	complete_graph_update_time_ratio_std	complete_graph_update_time_avg	complete_graph_update_time_std	complete_total_update_time_ratio_avg	complete_total_update_time_ratio_std	complete_total_update_time_avg	complete_total_update_time_std	complete_computation_time_ratio_avg	complete_computation_time_ratio_std	complete_computation_time_avg	complete_computation_time_std	summarized_graph_update_time_ratio_avg	summarized_graph_update_time_ratio_std	summarized_graph_update_time_avg	summarized_graph_update_time_std	summarized_total_update_time_ratio_avg	summarized_total_update_time_ratio_std	summarized_total_update_time_avg	summarized_total_update_time_std	summarized_computation_time_ratio_avg	summarized_computation_time_ratio_std	summarized_computation_time_avg	summarized_computation_time_std	comparative_graph_update_time_ratio_avg	comparative_graph_update_time_ratio_std	comparative_total_update_time_ratio_avg	comparative_total_update_time_ratio_std	comparative_computation_time_ratio_avg	comparative_computation_time_ratio_std
2	1.7351756327926338	0.11559180556496644	21261.2	1405.178077174359	1.7348189711770072	0.08803508434044731	47987.74	1958.9163581856546	2.0307556553497674	0.07356545389719164	133460.14	2389.6999727145326	1.6851357773175337	0.1148275263814366	21451.74	854.4874059567968	1.7336373385038462	0.09475642763450427	47170.56	2516.817346878994	1.5320790659453718	0.07759837517964797	86555.5	3791.5180539015273	0.9923590550997028	0.07215649124605358	1.0199437494811108	0.06471615643189248	1.5444832930586168	0.06609003449087791
4	2.80220633619499	0.23446237148390037	13186.5	962.0970982861409	2.5943227664305497	0.17916983731501243	32163.46	2091.5964824282246	3.731631796258483	0.13912828489325918	72631.62	1282.0436474151536	2.8057066021461567	0.27417900083490326	12973.0	1382.5546304296438	2.712321159317508	0.24914333050147297	30332.02	2976.5092792376363	2.5244552530158235	0.18098213996975165	52706.0	4183.8208296596395	1.0262610793953797	0.1207746020703701	1.0697720191561313	0.12011158993526429	1.3848658619078529	0.09188290644172367
8	3.657538537915016	0.37899413650441843	10163.72	1208.6932907153941	3.162880886360915	0.2814024359933762	26455.76	2190.8172974989056	6.325117810578157	0.3028965747241114	42883.52	1325.3710953571317	3.7686427373170166	0.47321263230958516	9733.32	1423.0594440235059	3.4567050373372377	0.390241093824431	23900.06	2875.289887142171	3.4598611801214685	0.23063973464365786	38449.32	3213.6372326162054	1.0610744969805037	0.17528746655646898	1.118350418265522	0.13079076176115792	1.1208413496427103	0.07651863174527246
16	3.9057777016264392	0.5758546579516484	9778.26	2851.1518031297096	3.382612250731065	0.3843920311141077	24957.48	3746.3642742133393	9.46234228038252	0.7740675544992132	28858.46	3113.539610560722	3.7197997331697037	0.383563735182315	9824.54	1345.1275519520102	3.2615229181925183	0.5239305403015927	25999.9	6718.719026506679	3.4496566707795853	0.5156822629989481	39552.28	8365.50380063074	1.0129274459047874	0.3418789996349558	0.9991409859659395	0.23042931845914422	0.753826944819176	0.1484126086254129
