P8_complete_execution_count	P8_complete_graph_update_time	P8_complete_total_update_time	P8_complete_computation_time	P8_summarized_execution_count	P8_summarized_graph_update_time	P8_summarized_total_update_time	P8_summarized_computation_time
1	12082	33949	46552	1	11677	33701	55724
2	10201	28991	41998	2	8752	22843	41028
3	10491	27291	45538	3	8530	24630	37682
4	9446	26598	41983	4	8767	20733	37620
5	10456	26645	42569	5	10347	22648	38509
6	9345	24703	43094	6	9046	22746	36708
7	13420	30624	48507	7	8828	22712	40121
8	9260	24644	43321	8	9193	24736	34745
9	9727	26821	43004	9	8786	20630	35795
10	9902	26646	41786	10	12004	26795	40947
11	9140	24846	42976	11	9432	22793	35659
12	9457	24888	41600	12	10311	24730	38243
13	9381	26675	42580	13	8761	22515	41627
14	9573	24609	45361	14	16404	34635	36246
15	9921	28645	42436	15	9181	24550	35930
16	9970	26639	41673	16	8841	22573	38909
17	10809	27339	43556	17	9553	24606	37792
18	10068	26793	42758	18	9520	22531	37583
19	9448	24530	43332	19	8811	22564	40186
20	13289	28609	41328	20	12486	26721	36873
21	9089	22687	42795	21	8972	20629	34567
22	9166	24520	41860	22	13248	28740	35727
23	9899	26766	43210	23	8779	22606	37942
24	10655	26569	43108	24	9477	24594	36851
25	10141	26596	42715	25	8730	20604	36266
26	9493	24848	42935	26	11522	26463	39202
27	10179	24590	43017	27	8635	20567	38928
28	9748	26620	42934	28	8919	22497	40915
29	11185	24656	42330	29	9111	22744	38478
30	9467	24529	42807	30	9586	26663	39257
31	9314	26658	41757	31	9393	24609	37611
32	9163	22600	44579	32	10487	22551	36700
33	9341	26548	43382	33	9299	28653	38749
34	10311	26609	42321	34	8841	22552	40861
35	15074	30433	41849	35	9031	22745	37426
36	10135	28566	43305	36	9729	24603	45299
37	10984	26596	43260	37	8730	20621	38531
38	9350	24594	42940	38	10296	24583	37493
39	12267	30423	42018	39	8798	22511	37085
40	9753	24457	41303	40	9561	24709	35876
41	9391	26703	42921	41	9945	22741	35787
42	10256	25060	42206	42	9499	22671	40285
43	10821	28562	41883	43	11070	24626	38664
44	9603	24640	42261	44	10343	24647	36883
45	9133	30455	42187	45	9362	24578	39960
46	9324	26491	42859	46	9399	22497	37442
47	9504	24720	44038	47	9103	22733	39007
48	9675	24491	41828	48	9019	20612	36766
49	10767	24672	42070	49	9251	22730	36202
50	9612	26644	41546	50	9301	22532	39779
