execution_count	graph_update_time	total_update_time	computation_time	execution_count	graph_update_time	total_update_time	computation_time
1	37468	85516	263113	1	36142	88145	137529
2	34911	78524	267628	2	34604	78508	127652
3	36964	82642	260624	3	34072	78395	127590
4	37299	84613	260511	4	38142	84393	136534
5	38764	82321	272494	5	34742	76218	129280
6	37274	84321	281302	6	35922	84218	133622
7	36007	80311	265935	7	35356	82296	131652
8	37590	84676	263505	8	34417	78287	131190
9	38735	84298	261958	9	35958	80242	127411
10	36834	86285	266262	10	37087	84438	133944
11	36351	80273	272136	11	34046	78250	140411
12	36557	82235	269034	12	35390	80253	139661
13	38254	82424	256170	13	35514	82138	132047
14	34283	80196	264984	14	35846	82244	134731
15	34975	78114	257274	15	35517	80205	126741
16	35823	82366	279059	16	35567	80335	131299
17	37372	80248	261675	17	34588	78421	130538
18	35996	86311	270010	18	36370	80334	137339
19	39621	84150	294494	19	34724	80485	133802
20	37410	84477	271632	20	34668	76251	133075
21	37643	84476	259689	21	36947	82573	130130
22	36796	86116	272605	22	33748	76331	126907
23	35714	82135	282325	23	34903	80358	134063
24	34381	78264	272518	24	35607	82139	134663
25	36332	80074	258954	25	38314	82083	127444
26	34549	82145	283555	26	34820	78240	132397
27	37864	84157	266273	27	35221	84169	132545
28	35490	82488	291588	28	37039	84173	135978
29	36239	80201	268650	29	37154	82126	132889
30	36491	84162	280522	30	34480	78200	138680
31	37256	84197	265868	31	35579	80123	131024
32	36483	86080	268319	32	34429	78112	127760
33	36582	82389	264133	33	36628	80113	131252
34	39641	86183	281861	34	35114	82378	135193
35	35581	80091	272549	35	35501	80047	128861
36	34741	80236	269797	36	43101	88128	133282
37	36980	82104	273206	37	36679	84168	134717
38	35306	82322	274548	38	35621	80317	129501
39	38219	84091	259560	39	34775	82269	131143
40	34786	80121	285138	40	35856	80357	130315
41	37246	86260	274936	41	34958	82291	131296
42	37784	84103	269266	42	37977	84129	131956
43	37074	86155	270090	43	35945	80177	133718
44	36670	82118	286976	44	39145	84114	132088
45	37224	84080	273338	45	41444	88115	131996
46	33798	80260	276643	46	35081	84160	138084
47	38031	88110	262224	47	36954	84226	133534
48	35002	82009	277683	48	36549	82140	129901
49	42562	88309	271138	49	40530	84102	130335
50	37370	88129	273776	50	35604	86108	130405
